id,name,seg_words
1,首都医科大学附属北京同仁医院,首都 医科 大学 北京 同仁
2,北京中医药大学东直门医院,北京 中医药 大学 东直门
3,首都医科大学附属北京地坛医院,首都 医科 大学 北京 地坛
4,北京协和医院,北京 协和
5,首都医科大学附属北京中医医院,首都 医科 大学 北京 中医
6,陆军总医院,陆军 总医院
7,北京市公安医院,北京市 公安
9,北京联合大学中医药学院附属医院,北京 联合 大学 中医药
11,北京市东城区北新桥医院,北京市 东城区 北新桥
12,北京市东城区东四医院,北京市 东城区 东四
14,北京市东城区长安医院,北京市 东城区 长安
15,北京市东城区建国门医院,北京市 东城区 建国门
16,北京市东城区朝阳门医院,北京市 东城区 朝阳门
17,北京市东城区口腔医院,北京市 东城区 口腔
18,北京中新颐和医院,北京 中新颐
19,东城中医医院,东城 中医
20,中美合资佳美口腔医院,中美合 资佳 美口 腔医院
21,北京天安中医院,北京 天安 中医院
22,北京当代女子医院,北京 当代 女子
24,武警北京市总队第二医院,武警 北京市 总队 第二
25,中国医学科学院阜外医院,医学 科学院 阜外
26,中国人民解放军第三零五医院,人民 解放军 第三零五
28,首都医科大学附属北京安定医院,首都 医科 大学 北京 安定
29,中国人民解放军二六二医院,人民 解放军 二六二
30,北京大学第一医院,北京大学 第一
31,北京大学人民医院,北京大学 人民
32,北京市西城区平安医院,北京市 西城区 平安
33,北京市护国寺中医院,北京市 护国寺 中医院
34,北京市二龙路医院,北京市 二龙路
35,北京市第二医院,北京市 第二
36,北京市西城区妇婴医院,北京市 西城区 妇婴
37,北京市展览路医院,北京市 展览路
38,中国残疾人联合会北京按摩医院,残疾人 联合会 北京 按摩
39,北京核工业医院,北京 核工业
40,北京市西城区厂桥医院,北京市 西城区 厂桥
41,北京市西城区月坛医院,北京市 西城区 月坛
42,北京广播器材厂职工医院,北京 广播 器材厂 职工
43,中国人民公安大学医院,人民 公安 大学
44,北京闹市口医院,北京 闹市口
45,北京市西城区金华医院,北京市 西城区 金华
46,北京市西城区新街口医院,北京市 西城区 新街口
47,北京明都中医院,北京 明都 中医院
48,北京天乐医院,北京 天乐
49,北京前海股骨头医院,北京 前海股 骨头
50,首都医科大学附属北京天坛医院,首都 医科 大学 北京 天坛
51,首都医科大学附属北京口腔医院,首都 医科 大学 北京 口腔
53,北京市普仁医院,北京市 普仁
54,北京市崇文区第一人民医院,北京市 崇文区 第一 人民
55,北京市崇文区体育馆路医院,北京市 崇文区 体育馆 路医院
56,北京同仁堂崇文中医院,北京 同仁堂 崇文 中医院
57,北京市崇文区前门医院,北京市 崇文区 前门
58,北京市崇文光明医院,北京市 崇文 光明
59,北京东华医院,北京 东华
60,北京健安医院,北京 健安
61,北京两广医院,北京 两广
62,北京崇文英平医院,北京 崇文 英平
63,北空后中西医结合医院,北空后 中西医 结合
64,北京市崇文区龙潭医院,北京市 崇文区 龙潭
65,北京普京医院,北京 普京
66,首都医科大学附属北京友谊医院,首都 医科 大学 北京 友谊
67,首都医科大学宣武医院,首都 医科 大学 宣武
68,北京市健宫医院,北京市 健宫
69,北京右安门医院,北京 右安门
70,北京市监狱管理局清河农场医院,北京市 监狱 管理局 清河 农场
71,北京市宣武区大栅栏天桥医院,北京市 宣武区 大栅栏 天桥
72,北京市宣武区椿树医院,北京市 宣武区 椿树
73,北京市宣武区广内医院,北京市 宣武区 广内
74,北京市宣武区陶然亭医院,北京市 宣武区 陶然亭
75,北京市宣武区白纸坊医院,北京市 宣武区 白纸坊
76,北京市政二公司白云路医院,北京 市政二 公司 白云路
78,北京印钞厂医院,北京 印钞厂
79,北京市宣武区广河医院,北京市 宣武区 广河
80,北京市天堂河农场医院,北京市 天堂河 农场
81,北京市国营五四一医院,北京市 国营 五四一
82,中国中医科学院望京医院,中医 科学院 望京
83,首都儿科研究所附属儿童医院,首都 儿科 研究所 儿童
85,中国人民解放军第三零六医院,人民 解放军 第三零六
86,中国医学科学院肿瘤医院,医学 科学院 肿瘤
87,首都医科大学附属北京安贞医院,首都 医科 大学 北京 安贞
88,北京军区总医院分院,北京 军区 总医院
89,福清市红十字医院,福清市 红十字
